url,product_id,category
https://www.amazon.in/Amazon-Brand-Solimo-Vegetable-Chopper/dp/B07FFG653K/ref=zg_bs_kitchen_18/259-6753901-6196639?_encoding=UTF8&psc=1&refRID=751EEY1A6SE5C7205BJD,B07FFG653K,Home & kitchen
https://www.amazon.in/Ahmedabad-Cotton-Double-Bedsheet-Pillow/dp/B07CN7NJQS/ref=zg_bs_kitchen_27/259-6753901-6196639?_encoding=UTF8&psc=1&refRID=751EEY1A6SE5C7205BJD,B07CN7NJQS,Home & kitchen
https://www.amazon.in/Raawan-Durable-Plastic-Organizers-Utensils/dp/B0851SZWQS/ref=zg_bs_kitchen_32/259-6753901-6196639?_encoding=UTF8&psc=1&refRID=751EEY1A6SE5C7205BJD,B0851SZWQS,Home & kitchen
https://www.amazon.in/Usha-EI-1602-1000-Watt-Lightweight/dp/B008YW3CYM/ref=zg_bs_kitchen_45/259-6753901-6196639?_encoding=UTF8&psc=1&refRID=751EEY1A6SE5C7205BJD,B008YW3CYM,Home & kitchen
https://www.amazon.in/Pigeon-Stovekraft-Handy-chopper-L_14298/dp/B07X2RGYYL/ref=zg_bs_kitchen_1/259-6753901-6196639?_encoding=UTF8&psc=1&refRID=751EEY1A6SE5C7205BJD,B07X2RGYYL,Home & kitchen
https://www.amazon.in/HIYANSHI-HOME-FURNISHING-Cotton-Bedsheet/dp/B08B5HLTLX/ref=zg_bs_kitchen_17/259-6753901-6196639?_encoding=UTF8&psc=1&refRID=751EEY1A6SE5C7205BJD,B08B5HLTLX,Home & kitchen
https://www.amazon.in/Oddy-Uniwraps-Baking-Cooking-Parchment/dp/B00UX7644Q/ref=zg_bs_kitchen_15/259-6753901-6196639?_encoding=UTF8&psc=1&refRID=751EEY1A6SE5C7205BJD,B00UX7644Q,Home & kitchen
https://www.amazon.in/Ezee-Garbage-Bag-inches-Pieces/dp/B08217WK1W/ref=zg_bs_kitchen_13/259-6753901-6196639?_encoding=UTF8&psc=1&refRID=751EEY1A6SE5C7205BJD,B08217WK1W,Home & kitchen
https://www.amazon.in/Wakefit-Cotton-Single-Mattress-Protector/dp/B01GPY5L9O/ref=zg_bs_kitchen_5/259-6753901-6196639?_encoding=UTF8&psc=1&refRID=751EEY1A6SE5C7205BJD,B01GPY5L9O,Home & kitchen
https://www.amazon.in/Milton-Thermosteel-Duo-Deluxe-350ml/dp/B00F2GPPVQ/ref=zg_bs_kitchen_8/259-6753901-6196639?_encoding=UTF8&psc=1&refRID=751EEY1A6SE5C7205BJD,B00F2GPPVQ,Home & kitchen
